model,target,RMSE,MAE,R2,error,error_average
ARIMA,СКР,0.05926621495670294,0.04445411764705883,0.9544499972734612,4.136024551407526,23.366633676905913
ARIMA,ОПЖ,0.880369612552525,0.7062552941176471,0.8856220471199727,1.2154073814251432,3.9255724713872944
Prophet,СКР,0.08039634474917264,0.06261784104002265,0.9165793307910134,5.57158582473221,22.86120035365979
Prophet,ОПЖ,5.150934069517236,4.880674739778387,-3.233954240499953,7.142899726473126,3.6540144304911046
Random Forest,СКР,0.03932620591272432,0.029168101179533782,0.9796317627567215,2.7376965623108656,23.04800988295015
Random Forest,ОПЖ,0.6831684827920756,0.5864823301127474,0.931124006433729,0.9431584244884023,3.9255724713872944
RNN,СКР,0.3222381223996383,0.25142352362801046,-0.3401545911682544,22.331579384007057,22.86120035365979
RNN,ОПЖ,3.2670192967283587,2.6162766813390395,-0.7032467821757102,4.530438737137739,3.6540144304911046
XGBoost,СКР,0.031577557563355854,0.023965081697351762,0.9868675299764527,2.1982738680468854,23.04800988295015
XGBoost,ОПЖ,0.8214864661036654,0.7429433773265169,0.9004106133538248,1.1341153765500749,3.9255724713872944
